Opinião, mensagem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Diz aí Ana animais, o que fará com os animais depois que acabar os rodeios, se tiver uma resposta conveniente, mudarei meu voto é não defendo o rodeio, mas se vier com conversa, que é melhor matar aí, vou te processar, porque vc deve matar os cães soltos do seu bairro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,se não come carne o problema é seu,eu como e vou continuar comendo,não como com seu dinheiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ESSES ATIVISTAS SÃO TUDO VAGUBUNDOS QUE NÃO QUEREM TRABALHAR E TEM INVEJA DOS BEM SUCEDIDOS, AFINAL QUEM BOIADAS TEM GRANA, SÓ DIGO UMA COISA, SOU À FAVOR DO REGIME MILITAR NO BRASIL NOVAMEMTE, PORQUE NO REGIME MILITAR VAGABUNDOS COMO VOCÊS ENTRA NO CACETE POR FICAR INVEJANDO O SUCESSO DAS PESSOAS!  QUERO VER A CARA DE VOCÊS DENTRO DE UM CAMBURÃO, POR FICAR DE VAGABUNDAGEM NA RUA, AO INVÉS DE PROCURAR SERVIÇO, PORQUE QUEM TRABALHA NÃO TEM TEMPO PARA VIGIAR A VIDA DOS BENS SUCEDIDOS.... VOLTAAAAAA REGIME MILITAR!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E o nível da sua cultura é zero, para começar isso não foi argumento e sim minha opinião!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Ainda falam em ""nível"".Tirem suas próprias conclusões... ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,O retardada como eu já disse anteriormente, isso não é argumento, vocês não deve ter nem a quarta série né!? Porque não sabem nem interpretar, isso é minha opinião, o que eu quero que aconteça, isso não são argumentos seus analfabetos!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Eu não mau trato animais, muito pelo contrário tem alimentação balanceada, acompanhamento veterinário todos os dias e muito mais, ti garanto que eles preferem levar essa vida ao invés de virar comida!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Curiosidade: o quê um cachorro-louco, CGezeiro  entende de rodeio? Ora, vá entregar a pizza véio  senão ela esfria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Porque ele cria o que ele quer!!! Porque ele tem o poder de criar o que quer!! Ao contrário de você que não tem poder de nada!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Kkkkkkkkkk rindo até o resto da vida agora!!! Qual povo tem o poder de acabar???? Porque vocês não tem o poder de mandar nem dentro de suas próprias casas!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Não é que vale a pena perder tempo, você não tem argumentos para discutir!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Falou a hipócrita!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,L10519 - Presidência da República www.planalto.gov.br/ccivil_03/leis/2002/L10519.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,L10220 - Presidência da República www.planalto.gov.br/ccivil_03/leis/LEIS_2001/L10220.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Olha quem está de volta: Sacomita de Maringay. Não desgruda da gente mesmo hein? Você deve ter tido uma desilusão amorosa com algum peão pervertido  certeza  (aaargh...!), por isto persegue tanto, a classe. Já colou o ossinho? castigo. (Levítico 20:13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tem q acabar c/ os rodeios q são sofrimentos dos animais, cultura ñ tem sangue e nem sofrimento, q é somente pra os humanos lucrarem c/ $$$$$$.Ñ tá certo, existir rodeios dos sofrimentos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Os fazendeiros do Pará  estão dizimando a castanheira. Agora entendo o motivo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Vai procurar um asilo para você passar o resto da sua vida, Porque tenho certeza que deve ser uma velha solitária!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,quando voces vão entender que homens se interagem com animais a milhoes de anos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,seu cabeça atrofiada, tem q ter evolução contra a exploração de animais, pra lucros $$$$ de sdesumanos, desalmados, bota teus filhos la, q aí eu vou assistir eles servindo de palhaços.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,comemos animais também e não é voce que falar o que temos que comer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,eu ñ como animais q são vidas e alma, ñ sou cemiterio pra enterrar defuntos no estomago.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,quer me conhecer ao vivo..vamos conversar em outras redes sociais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,e a favor da morte,,é pra lá que vão animais que não vão para o rodeio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,animais tem vida e alma, se vc acha q eles devem sofrer bote a tua,sua familia,parentes la no lugar dos animais, trepe,explore eles.Os animais ñ.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Selma castanheira acho que você que ta querendo ser montada de 4, deve ser mais feia q o cão chutando manga e ninguém quer!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Estas asneiras que dizem pode ser útil em um futuro, para a nossa defesa. Mostrar isso que dizem, para um juiz, da pra ver que estão dizendo coisas sem ter experiência com animais e nunca virão, um rodeio. Hoje tem muitas defesas a favor do rodeio, meu marido foi ferrar um cavalo e um ativista veio bravo que estava maltratando o animal, isso mostra a falta de experiência, o vídeo da discussão será mostrado em júri para mostrar que estão loucos para acabar com o rodeio é apenas acha, nos temos certeza, deixem falar besteiras, birra nos ofender, isso mostra quem são os ativista, veja o perfil de todos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,https://www.youtube.com/watch?v=Ktg-opMI47o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,que absurto onde vc viu isso..se ja viu nos fale onde e quando..que horror falar coisas sem nunca ter visto.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ativistas que protegem animais pediram na internet 300 mil reais para cuidarem de 40 porcos,,imagina quanto precisaria para cuidar de mais 15 mil animais de rodeio se o rodeio acabasse hoje.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Rodeio legal não mal trata animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,http://www.votenaweb.com.br/projetos/plc-1767-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Diga aí vcs do ""NÃO"" o que será feito com os touros se acabar o rodeio? Se são tão protetores assim, não vão deixar matar né? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,deputado de lixo foi comprado por os algozes por lucros $$$$$$ maldito bota a tua sua familia la canalha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Que véinha boca suja  legítima representante do morro do lá-vai-chumbo. Deve ser mãe do finado Girafales. Fica ishpééérrrta, tia...! volta pro pancadão  esta não é a tua praia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Nun parece a Sônia Abrão...???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,vc é q ñ tem q existir no planeta terra só Deus tem o poder de vida e morte e ñ vcs lixos humanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Calma Sônia Abrão...  a sra. também têm aspecto humano (?), como a gente  a diferença é, que nós somos recicláveis  já vósmicê..., nem o dr. Hollywood dá jeito.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,onde e quando vc viu de perto essa crueldade que vc esta mencionando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,dar choques, chutar prender os escrotos vc ñ acha q isto doe ñ????Então bote a tua mãe lá pra prender as tetas dela la no rodeio q ai eu vou assistir, vai ser bem emocionante o rodeio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Talvez seria o que resolvesse o país nesse momento... Porque esses bandidos, ex-presidiários que estão no poder tenho certeza que vão continuar roubando. A ditadura é ruim apenas para os vagabundos e bandidos, pessoas de bens não são afetadas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,vcs fazendeiros estao classificados de bandidos do abuso e exploração dos animais, merecem cadeia já!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Agora vocês seria os primeiros a si dar mal né!? Porque regime Militar ativistas não tem vez, ia ser os primeiros à entrar no pau kkkkkkkkk. Torço para isso acontecer, ai cada um cuida da sua vida.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Quem é fak seu bosta,,mora em jacutinga minas gerais se quiser me conhecer ao vivo te passo meu endereço meu telefone e te ensino a ser homem,,sua frutinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,https://www.youtube.com/watch?v=Ktg-opMI47o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,gente este, esse deputado ta enganando ele foi comprado, por $$$$ pra continuar c as crueldades dos animais.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ele também não escolhe virar comida!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Digo o mesmo para o pessoal do ""sim"" que quando aparece um os outros somem! ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,e algum animal escolhe morrer,, e nem por isso deixam de morrer, morrem milhares todos os dias nos frigorificos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,seu bosta tenho nome e endereço posso falar com vc ao vivo quando e onde voce quiser,,vira homem babaca,, conheça antes de criticar,,se voce não gosta aprenda a respeitar quem gosta,,conheço animais de rodeio e tambem conheço como são tratados,,se quiser posso te mostrar quando e ahora que voce quiser,me passa como possso te encontrar e conversaremos ao viov por outras redes..o unico fake que deve ter aqui é voce seu idiota.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,com certeza o seu esporte é motorizado e não da publico por isso fala isso.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,e onde vc algum animal ser torturado sua babaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,e só que faz é legal,,conheça antes de criticar nunca deve ter visto de perto como vivem e como são tratados animais de rodeio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Semana que vem, tem rodeio em: Leme, Jacutinga, Nova Resende etc... Bora lá. E final de outubro, Brasil, bem representado na final da pbr nos Estados Unidos. Parem de ver crueldade que a .Espanha causa aos animais, aqui é Brasil. Brasil ruraltv.com aprenda e assistam.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,É mesmo??? Me diga algum rodeio do circuito PBR ou do circuito RANCHO PRIMAVERA que na atualidade são os maiores, me fale alguma cidade desses circuitos que foi proibido!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Em Maringá é permitido. Dói né? na porta de casa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Samantha, os touros de rodeio também são bem tratados, te convido para ir ver e filmar qualquer fazenda que tem touros de rodeios, digo os cavalos militares porque, como touros de rodeios são bem tratados e na hora das manifestações? Vc quer que eu mostre eles em ação, desde, pedrada, Paulada, bombas de gás etc isso é de seis a 10 hrs de trabalho. Bem o vício dos cachorros e minha opinião. Como vc tem a sua que maltrata os animais de rodeio eu tenho comigo que viciam os cães, ou vc vai me mostrar o contrário, é me de uma resposta do que farão com os touros depois que acabar o rodeio, só se vc tiver uma idéia brilhante para não matar os touros, assista: Brasil ruraltv.com e aprenda um pouco, e barato de pagar de burra.,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Hoje final de rodeio em , Leme, Tapiratiba, Britânia, Boituva, Rinópolis etc... Bora lá, pro rodeio quem gosta, quem não gosta come mais pouco, kkkk!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6, O Brasileiro Eduardo Aparecido, venceu neste último sábado, 05/09  a etapa da PBR, do rodeio de Thackerville, Oklahoma, EUA. Parabéns ao grande campeão. É o rodeio Brasileiro exportando talentos. WWW.PBR.COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Exporta meretrizes também  mas não se iluda, seu prazo de validade, espirou.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,O lutador de box não se prepara? de luta livre ou qualquer outra atividade são preparados. Os touros também, são bem alimentados e assistidos por veterinários, pronto!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Com toda certeza, concordo com você, só não entendi porque ta aqui ao invés de correr atrás dessas coisas importantes!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Olá Elizete, ao votar não vc esta condenando o animal a morte ! Porque nao criticam os animais que sofrem exemplo: Os cavalos da polícia militar, os cães farejador, que eu digo que são viciado em droga e muitos dizem que não é o a mesma situação dizemos que eles não sofrem e vcs dizem que sofrem, se o touro de rodeio sofresse, os veterinários não daria a cara a tapa para defender essa causa. Mas vcs acha conveniente deixar matar que procurar saber como é tratado de verdade um touro, cambada de covarde.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Brasil :#‎PBRADAMANTINA‬ ‪#‎ExpoVerde2015‬ EUA: Hoje começa a etapa ‪#‎PBRTHACK‬ na cidade Thackerville, Oklahoma. O evento contará com a participação de 13 ATLETAS BRASILEIROS. Acompanhem as emoções da etapa ao vivo pelo CarbonTV.com a partir de hoje as 22 horas horário de Brasília.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Essa turminha do pliticamente correto tem tomar nota que não são Deuses e tem que engoloir e aceitar a cultura e gosto popular Brasil não é só futebol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Esses trouxas do não, vota sem noção, mau sabe eles o que irá acontecer com os touros, acho que pra eles a morte dos touros de rodeio em massa, sera uma vitória. Votamos sim pelo rodeio porque amamos esses animais, já quem vota não, eu tenho certeza que nenhum tem experiência com animais de grande porte vê os bicho só imagem em tv,net e revista! Sim é para garantir a vida desses touros, já que sem rodeio os touros será bife pra todos, mais é isso que vcs querem, e não vem tentar argumentar alguma coisa que eu disse, porque essa é a realidade, SIM preserva o touro vivo, NÃO será matado para nosso alimento, triste não!,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Tem que rir desses otarios do ""NÃO "" eles fica denunciando todos os comentários do sim, será que eles acha que isso vai mudar alguma coisa!!??? Ou é porque vocês não tem argumentos??? Tem é que dar muitas risadas!! Kkkkkkkkkkkkkkkkkkkkkkkkkklkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Atenção amigos do rodeio, guardem bem estes dois nomes: Touro Três Namoradas - campeão Brasileiro 2015  da Cia. Euripinho Sollo  avaliado em r$ 1 milhão de reais. Touro Boca Quente, da Cia 3B, do Bentinho  avaliado em r$ 312 mil reais (já estou até lendo: áiiih... um animal não deveria ter valor monetário.) Ora. Eles vão ser a sensação das próximas etapas  e vão fazer muito peão tremer. Glória Perez já está de olho.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Já ti falei não fica pagando de trouxa aqui com esses links de pessoas que apenas diz não gostar de rodeios.. pesquise à fundo o que está acontecendo... e para sua infelicade o rodeio ja foi remarcado e agora será mais dias além do que era!! Será dois finals de semanas!!! Tomaaaaaaaaaaaaaaa...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"ATENÇÃO ""ANA"": FALSA IDENTIDADE: criar um perfil falso pode levar a processo judicial com base no Artigo 307 do Código Penal Brasileiro. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,http://www.agendaderodeio.com.br/2015/08/rodeio-de-carapicuiba-2015-remarcado.html?m=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,FALSA IDENTIDADE: criar um perfil falso pode levar a processo judicial com base no Artigo 307 do Código Penal Brasileiro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Digo o mesmo pra você!!! Hipócrita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Verdade, Jhones véi xonado  a hipocrisia tá cumendo sorta aquí  esta aí prefere o McDonalds. E a gente num pode nem falá, que lá vêm ameaça de processo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,e onde voce viu algum animal de rodeio ser torturado..se ja viu nos diga onde e quem era o proprietario..se não viu não fale coisas sem saber.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PARABÉNS AO NOBRE DEPUTADO!!!! Não devemos nos calar diante desta ditadura esquerdista! Apoiam o aborto e protegem os animais MAIS QUE OS SERES HUMANOS!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Atenção pessoal do SIM  prestem bem atenção na pergunta que eu farei a seguir á srta. LETÍCIA RONCHE. muito bem  vamos lá: -Srta. LETÍCIA RONCHE  inimiga do rodeio  protetora dos animais, ativista engajada, ""vegana"": O quê a srta. e mais quatro amiguinhas, estavam fazendo em 29/07 /15, (sorridentes, por sinal) na HAMBURGUERIA ZÉ DO HAMBURGUER, no bairro das Perdizes, em São Paulo??? Responda se conseguir, mas seja sincera, caso contrário vou entrar com uma ação que me permita publicar as fotos que, obtive legalmente, revelando a farsa do seu discurso contra o rodeio, e quem come carne. E não adianta excluir as fotos, porque já salvei as cópias. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Ok você venceu, batata frita... (Blitz). Ora, srta. Letícia  não subestime a inteligência desse pobre caipira, atrasado e ingênuo. A srta. encabeça uma verdadeira cruzada contra nossos costumes, tradições, e paixões  nos acusa de maltratar e explorar nossos heróis, que são os cavalos e, os touros de rodeio  deprecia o amor que temos por eles  amaldiçoa os pobres carnívoros  mas, no primeiro happy hour, a srta. se permite ser flagrada degustando um delicioso diner burguer. Convenhamos, a srta. tem bom gosto  o Zé do Hamburguer é uma das melhores casas do ramo. Srta. Letícia com todo respeito a este seu rostinho meigo, mas as suas opiniões expostas nesta página são uma fraude. ""Nada está encoberto nesta vida."" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,sabemos que sua intenção é boa,,mas se quer proteger algum animal vá atras de outros ,os de rodeio ja são muito bem cuidados..se caso voce quiser conhecer de perto posso te acompanhar e te mostrar varias fazendas onde se criam esse ipo de animal,garato que voce vai se surpreender.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tudo bem, tá desculpado  más agora volte para a página..., sem você ,tá meio chato isso aquí. Tenha mais cuidado, não exponha sua vida particular. Não precisava ter me caguetado para a Amanda japonesa  você sabia que ela é faixa-preta em karatê?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,se voce é vegetariana é problema seu,eu não sou e também não vou na sua casa de falar o que voce tem que comer..vai cuidar da sua vida..cada um come o quer.. ninguém come com seu dinheiro...tambem ninguém vai na sua casa te falar o que tem que beber que roupa tem que por e tc.... cuide da sua vida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Que mimimi heim Amanda Matsuda?? Ninguém ti ameaçou, E você por ser estudada como diz, deveria saber interpretar mais, porque o que o Leon Paulino quis dizer em relação a sua amiga, é que ela si diz contra uma coisa, Mas continua contribuindo para que isso continue!!! Escolinha essa que você estudou ou estuda!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"A recíproca é verdadeira srta. Amanda  neste caso, nos veremos nos tribunais. Sua amiga declarou guerra ao nosso segmento disparando comentários desnecessários, sistemáticamente  bastaria ter votado não, e escrever odeio rodeio  ninguém é obrigado a gostar de nada  mas ela abraçou uma causa para sí  e quando assumimos responsabilidades, devemos arcar com as consequências  o que ela queria  flores? apenas revidei à altura.Ofendidos e ameaçados somos nós  a todo instante aquí, nesta página (principalmente por sua amiga), pelo simples fato de termos cultura e tradição, diferentes de vocês, doutos urbanóides civilizados  anti-proteína. Quanto ao termo ""ameaça"", não cabe processo no assunto em tela  ninguém ameaçou a vida do outro, apenas mencionei publicar fotos  caso sua amiga não se justificasse  o que ela já fez de pronto  pois achei no mínimo curioso, o protetor devorar seu protegido. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,...Nenhuma das pessoas daquela mesa é vegana. (trecho do texto da reclamante),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Abra os olhos Brasil  brevemente os fanáticos sectários, do finado Donald Watson (foi banido da sociedade vegetariana, em razão de seu radicalismo - uma espécie de Hitler comedor de alface), vão tentar acabar com nossa feijoada (patrimônio brasileiro) do sabadão, também  em defesa do três porquinhos. Imaginem uma feijuca só com cereais, cogumelos e hortaliças  vou ficar só com a caipora.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,realmente muitas pessoas que criam esses animais oferecem para mostrar como vivem e como são tratados esses animais mas ninguém vai ver .só querem criticar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,vamos conhecer antes de criticar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Interagir com animais não significa mau tratar animais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Isso aí, quem vota não, vcs vão tirar o sofrimento dos touros com certeza, só que a dor deles vai ser uma vez só, um tiro de ar na cabeça e já era. Os políticos estão agitados com o rodeio mas não é para defender animais algum, e porque está tendo leilões caríssimo dos touros e não tem retorno algum para o governo, as festas não dá retorno pro governo, aí eles estão jogando uns contra os outros para cancelar o rodeio, só que não calcularam o que vai ser feito com os animais, que só quer o direito de viver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Kkkkkkkkk tava olhando aqui, esse pessoal do não é muito sem o que fazer mesmo, eles denuncia todos os comentários do ""SIM"" mesmo que não seja ofensa à nada nem ninguém, Ou será falta de argumentos ai denuncia nossos comentários??????????????????????? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,#PARTIUADAMANTINA/SP. Começa hoje, galera! Itamonte..., Dutra  Castello Branco, Marechal Rondon: Rodeio de Adamantina.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,leticia, tenta salvar os cavalos da policia militar e os caes que sao viciado em drogas ai depois vc se mete com os rodeios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Si vcs querem ajudar animais, porque não tiram nem os cachorros que passam fome e morrem de doentes das ruas? E outra coisa vocês acha que touros são animais Silvestre que sobrevivem sozinhos? Não são é outro mesmo os de abate gasta muito dinheiro em tratamentos, ninguém iria gastar grana si não tivesse retorno! Isso que vocês querem so acontece no mundo da imaginação de vocês!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,acreditamos nos seus ideais ,mas ainda esta muito distante os seus desejos,humanos ainda comem animais e talvez isso ainda vai acontecer por muito tempo.usar animais não significa mau tratar animais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,fique calma,animais de rodeio são muito bem tratados,,se quiser conhecer de perto existe uma fazenda em botucatu do senhor ricardo bento que esta a disposição e ainda te paga todas as dispezas aasim pdera ver de perto como vivem e como são tratados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,https://www.youtube.com/watch?v=Ktg-opMI47o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Aprenda um pouquinho de como vivem e como são tratados animais de rodeio,saiba também para onde vão os que não são de rodeio..va conhecer uma fazenda onde cria esses animais,garanto que voce vai se surpreender..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Eu também acredito que um dia vou ser o homem mais rico do mundo.... mesmo sabendo que não tem essa possibilidade!!! Afinal sonhar com alguma coisa boa é melhor que ficar pensando coisas maléficas né!?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
